product_id,cost_price
1,168.37
2,183.18
3,155.47
4,103.91
5,103.64
6,189.76
7,132.41
8,199.79
9,110.65
10,158.69
11,153.25
12,135.95
13,142.56
14,136.09
15,104.51
16,102.69
17,169.07
18,163.39
19,107.0
20,117.06
21,169.33
22,196.62
23,184.26
24,187.81
25,183.08
26,180.67
27,138.72
28,137.79
29,171.63
30,130.96
31,193.97
32,182.18
33,152.1
34,170.44
35,104.84
36,113.31
37,157.49
38,174.61
39,134.38
40,136.08
41,171.51
42,132.63
43,158.93
44,155.72
45,185.3
46,132.77
47,106.8
48,159.8
49,105.22
50,151.34
51,181.44
52,189.1
53,124.41
54,160.73
55,155.0
56,104.53
57,165.22
58,182.58
59,125.47
60,128.75
61,123.4
62,126.81
63,141.27
64,154.28
65,134.26
66,194.2
67,180.97
68,180.0
69,138.66
70,175.86
71,198.47
72,148.63
73,131.05
74,154.87
75,130.35
76,125.45
77,167.44
78,133.38
79,104.43
80,125.94
81,150.39
82,183.66
83,103.93
84,162.29
85,194.67
86,116.38
87,168.62
88,158.15
89,100.06
90,145.31
91,124.08
92,144.68
93,127.99
94,119.76
95,111.36
96,155.58
97,165.9
98,196.06
99,111.2
100,127.54
101,164.7
102,174.52
103,157.06
104,120.43
105,161.38
106,189.12
107,100.88
108,180.21
109,136.22
110,120.94
111,135.11
112,143.16
113,158.74
114,144.25
115,164.79
116,114.18
117,153.5
118,114.71
119,158.95
120,122.26
121,120.46
122,191.51
123,138.19
124,177.36
125,119.67
126,125.05
127,198.03
128,144.59
129,132.23
130,108.69
131,117.04
132,166.01
133,189.79
134,194.43
135,141.08
136,156.33
137,147.66
138,187.54
139,145.61
140,173.44
141,127.1
142,147.73
143,105.65
144,131.65
145,157.93
146,170.15
147,100.18
148,133.05
149,166.35
150,109.64
151,194.85
152,170.42
153,172.54
154,100.77
155,172.0
156,146.6
157,142.16
158,173.54
159,170.17
160,136.72
161,190.2
162,178.87
163,169.31
164,123.59
165,109.23
166,193.86
167,141.88
168,168.71
169,183.74
170,174.27
171,192.12
172,190.84
173,108.29
174,168.8
175,150.37
176,100.42
177,187.38
178,184.25
179,125.6
180,173.32
181,188.66
182,101.24
183,142.38
184,191.24
185,157.66
186,134.54
187,191.07
188,142.51
189,151.33
190,141.12
191,177.59
192,193.04
193,193.3
194,114.07
195,179.73
196,128.78
197,171.94
198,142.5
199,139.1
200,161.09
201,110.14
202,177.22
203,184.29
204,120.12
205,166.1
206,130.61
207,103.43
208,194.53
209,137.52
210,168.15
211,133.31
212,113.72
213,199.33
214,115.35
215,131.54
216,175.67
217,165.78
218,164.85
219,196.54
220,118.0
221,178.19
222,144.63
223,167.53
224,183.17
225,149.14
226,117.92
227,152.51
228,195.41
229,103.36
230,133.58
231,178.96
232,183.0
233,181.17
234,113.42
235,151.77
236,175.84
237,180.06
238,155.48
239,175.49
240,176.53
241,159.2
242,146.26
243,153.94
244,192.12
245,105.05
246,162.59
247,106.41
248,145.05
249,166.4
250,180.29
251,189.91
252,133.97
253,158.82
254,143.29
255,105.72
256,131.35
257,142.51
258,132.26
259,148.45
260,116.28
261,149.69
262,109.72
263,106.47
264,133.87
265,189.04
266,130.3
267,179.19
268,122.45
269,178.2
270,113.62
271,157.49
272,150.77
273,106.7
274,172.19
275,195.74
276,107.47
277,141.29
278,120.81
279,149.51
280,133.43
281,122.74
282,105.27
283,193.41
284,188.68
285,174.66
286,178.88
287,195.85
288,166.0
289,195.39
290,187.15
291,148.6
292,169.33
293,194.61
294,165.58
295,153.52
296,137.23
297,187.87
298,174.17
299,100.13
300,107.2
301,183.15
302,165.69
303,196.77
304,165.21
305,183.21
306,158.72
307,115.42
308,171.51
309,113.79
310,173.88
311,106.74
312,128.11
313,119.88
314,196.35
315,102.7
316,189.99
317,137.99
318,198.38
319,172.92
320,114.08
321,134.29
322,117.96
323,131.23
324,100.01
325,104.77
326,166.9
327,143.16
328,155.67
329,111.28
330,159.95
331,108.52
332,147.36
333,132.62
334,147.78
335,113.69
336,187.32
337,194.88
338,183.57
339,100.62
340,189.55
341,191.08
342,178.14
343,140.58
344,118.77
345,146.67
346,133.69
347,145.87
348,176.18
349,114.32
350,165.11
351,176.41
352,185.1
353,147.24
354,186.81
355,132.7
356,102.4
357,111.91
358,113.57
359,195.25
360,125.92
361,113.95
362,199.45
363,154.19
364,150.04
365,125.82
366,113.51
367,119.76
368,179.74
369,156.45
370,172.61
371,192.33
372,165.78
373,136.22
374,165.4
375,141.97
376,177.63
377,146.02
378,149.4
379,135.96
380,116.89
381,167.07
382,167.53
383,168.74
384,136.53
385,131.54
386,183.91
387,105.3
388,131.16
389,183.11
390,154.35
391,147.66
392,123.96
393,195.51
394,179.85
395,143.53
396,120.64
397,143.74
398,140.04
399,193.7
400,154.79
401,161.17
402,184.07
403,100.2
404,118.77
405,158.59
406,199.49
407,142.61
408,176.13
409,185.48
410,132.28
411,118.01
412,159.24
413,103.83
414,132.2
415,166.72
416,192.9
417,146.97
418,137.63
419,107.27
420,195.15
421,165.4
422,122.15
423,114.03
424,187.87
425,127.9
426,133.49
427,174.86
428,198.07
429,155.91
430,166.27
431,144.75
432,103.69
433,184.46
434,107.36
435,146.53
436,156.59
437,164.39
438,138.64
439,188.25
440,148.25
441,114.65
442,181.97
443,141.86
444,135.67
445,189.8
446,100.83
447,118.65
448,118.73
449,151.64
450,134.93
451,165.18
452,183.06
453,166.93
454,155.05
455,187.01
456,190.1
457,132.67
458,192.71
459,144.44
460,181.11
461,142.18
462,180.03
463,156.94
464,154.79
465,112.04
466,149.87
467,194.42
468,156.41
469,183.55
470,113.67
471,195.93
472,151.64
473,128.63
474,144.54
475,135.7
476,105.22
477,192.1
478,187.05
479,161.19
480,184.92
481,137.88
482,120.94
483,172.26
484,196.36
485,127.52
486,142.77
487,196.76
488,162.41
489,181.39
490,124.54
491,155.16
492,108.65
493,122.72
494,106.09
495,124.83
496,171.97
497,148.48
498,142.79
499,193.29
500,122.51
501,111.23
502,135.05
503,180.92
504,167.71
505,170.44
506,189.87
507,119.96
508,163.33
509,141.7
510,138.87
511,173.23
512,105.34
513,100.6
514,118.92
515,126.64
516,114.19
517,123.55
518,143.78
519,105.06
520,134.34
521,190.29
522,148.63
523,169.65
524,133.94
525,129.1
526,142.12
527,121.74
528,189.22
529,119.67
530,176.89
531,103.07
532,150.96
533,120.87
534,111.35
535,168.81
536,132.1
537,116.38
538,147.52
539,122.47
540,117.32
541,125.0
542,199.57
543,163.42
544,112.34
545,193.25
546,143.72
547,191.23
548,148.75
549,106.95
550,189.28
551,126.66
552,120.52
553,102.91
554,183.61
555,180.25
556,146.41
557,184.7
558,138.35
559,162.0
560,146.98
561,121.75
562,132.8
563,185.8
564,152.48
565,160.64
566,159.17
567,175.47
568,195.02
569,105.5
570,164.24
571,155.62
572,162.84
573,115.08
574,103.04
575,172.54
576,116.4
577,139.41
578,171.65
579,102.87
580,181.78
581,186.98
582,169.82
583,118.1
584,122.23
585,131.0
586,124.46
587,112.64
588,138.02
589,151.69
590,174.35
591,143.42
592,124.54
593,181.38
594,184.66
595,182.91
596,149.67
597,125.11
598,173.37
599,122.96
600,133.76
601,185.8
602,185.12
603,146.87
604,143.91
605,107.08
606,187.02
607,141.24
608,154.32
609,105.27
610,153.02
611,123.26
612,197.25
613,109.34
614,101.91
615,158.2
616,130.25
617,172.57
618,153.3
619,165.18
620,112.86
621,140.7
622,188.5
623,159.34
624,159.54
625,135.32
626,111.26
627,188.02
628,130.07
629,189.52
630,150.11
631,186.63
632,121.38
633,124.61
634,176.48
635,166.16
636,105.68
637,199.2
638,169.06
639,163.49
640,154.14
641,193.45
642,144.09
643,106.06
644,182.89
645,148.43
646,182.35
647,153.99
648,174.1
649,193.74
650,165.07
651,178.57
652,148.16
653,131.93
654,129.03
655,131.12
656,141.15
657,199.44
658,187.63
659,178.73
660,167.85
661,165.11
662,129.99
663,139.57
664,188.68
665,109.51
666,121.31
667,185.9
668,131.4
669,197.77
670,189.04
671,190.02
672,195.82
673,156.74
674,160.62
675,188.24
676,182.0
677,107.94
678,109.93
679,170.63
680,114.4
681,174.38
682,133.31
683,109.41
684,134.74
685,107.78
686,150.51
687,141.48
688,164.75
689,197.24
690,138.3
691,114.09
692,127.81
693,168.61
694,136.28
695,196.98
696,161.76
697,111.74
698,152.92
699,150.62
700,154.24
701,166.19
702,115.48
703,176.33
704,110.21
705,148.51
706,148.29
707,144.18
708,147.0
709,154.42
710,129.0
711,157.29
712,162.92
713,137.91
714,120.86
715,161.79
716,146.66
717,142.31
718,112.45
719,132.83
720,178.26
721,191.22
722,163.66
723,134.19
724,106.71
725,108.8
726,198.81
727,174.02
728,142.62
729,124.17
730,124.78
731,145.18
732,134.87
733,171.94
734,191.63
735,189.3
736,154.58
737,174.92
738,164.26
739,154.18
740,144.94
741,144.42
742,103.98
743,188.04
744,133.66
745,125.35
746,156.33
747,126.86
748,183.28
749,177.9
750,182.42
751,115.82
752,101.0
753,130.3
754,159.69
755,181.17
756,146.58
757,176.52
758,155.9
759,181.54
760,147.95
761,127.3
762,119.57
763,153.52
764,187.32
765,196.7
766,148.64
767,111.99
768,114.85
769,119.74
770,118.92
771,113.5
772,111.09
773,151.27
774,141.63
775,185.28
776,175.97
777,197.94
778,144.43
779,114.63
780,143.11
781,128.23
782,190.19
783,147.09
784,162.08
785,179.98
786,121.39
787,156.95
788,117.46
789,156.84
790,165.65
791,176.62
792,118.11
793,185.83
794,100.7
795,181.75
796,153.85
797,142.7
798,156.01
799,184.4
800,135.03
801,135.35
802,129.72
803,184.87
804,128.07
805,166.49
806,145.8
807,104.96
808,129.64
809,105.08
810,115.89
811,161.8
812,163.78
813,145.88
814,170.11
815,162.04
816,113.4
817,198.05
818,155.73
819,151.54
820,130.46
821,133.47
822,155.43
823,144.62
824,184.61
825,141.09
826,194.87
827,165.07
828,192.31
829,183.98
830,127.48
831,167.29
832,179.53
833,181.09
834,162.66
835,124.26
836,193.08
837,110.43
838,102.91
839,126.04
840,145.84
841,105.23
842,192.53
843,152.54
844,152.29
845,114.63
846,100.84
847,197.98
848,142.56
849,121.99
850,144.45
851,158.18
852,141.28
853,198.95
854,192.53
855,106.55
856,109.99
857,145.1
858,144.14
859,186.74
860,143.33
861,166.79
862,163.73
863,168.38
864,127.88
865,166.46
866,195.92
867,194.62
868,104.52
869,149.05
870,192.41
871,118.11
872,165.16
873,181.01
874,134.36
875,157.1
876,149.61
877,169.1
878,135.89
879,128.42
880,150.59
881,159.41
882,171.53
883,111.04
884,118.23
885,162.18
886,165.32
887,159.28
888,100.43
889,117.41
890,116.35
891,189.35
892,147.01
893,173.73
894,153.38
895,135.84
896,123.31
897,140.67
898,193.15
899,158.55
900,169.04
901,193.25
902,120.25
903,166.87
904,152.8
905,164.88
906,167.6
907,134.2
908,162.8
909,101.22
910,159.93
911,175.54
912,161.01
913,192.79
914,105.25
915,181.34
916,123.69
917,144.08
918,115.41
919,198.78
920,100.9
921,188.22
922,183.2
923,195.67
924,177.52
925,175.45
926,154.24
927,180.96
928,177.36
929,151.51
930,165.61
931,133.67
932,132.01
933,125.8
934,113.56
935,148.72
936,135.25
937,108.7
938,196.31
939,169.15
940,192.94
941,161.0
942,148.8
943,168.77
944,158.91
945,100.57
946,146.05
947,176.33
948,141.17
949,145.23
950,167.1
951,168.93
952,168.5
953,116.2
954,110.91
955,164.29
956,199.33
957,188.35
958,155.04
959,101.6
960,177.55
961,100.28
962,120.84
963,139.2
964,166.69
965,150.81
966,159.06
967,135.26
968,187.48
969,187.93
970,188.62
971,119.59
972,106.22
973,150.78
974,153.51
975,193.22
976,100.57
977,117.84
978,185.3
979,177.65
980,168.14
981,103.66
982,195.18
983,107.72
984,174.9
985,148.51
986,163.17
987,138.32
988,174.55
989,155.55
990,194.26
991,196.71
992,121.41
993,100.8
994,160.75
995,188.57
996,169.99
997,177.56
998,102.97
999,176.54
1000,114.02
1001,176.64
1002,133.46
1003,114.95
1004,122.18
1005,104.19
1006,142.26
1007,152.61
1008,110.12
1009,106.31
1010,166.64
1011,155.09
1012,185.69
1013,157.23
1014,127.86
1015,194.71
1016,107.21
1017,154.76
1018,145.25
1019,148.7
1020,113.42
1021,179.71
1022,105.29
1023,116.33
1024,133.6
1025,192.49
1026,170.84
1027,189.16
1028,134.65
1029,140.61
1030,197.11
1031,125.08
1032,183.85
1033,188.05
1034,137.31
1035,153.14
1036,166.32
1037,171.18
1038,115.88
1039,155.92
1040,182.97
1041,113.34
1042,172.25
1043,134.58
1044,122.94
1045,196.83
1046,179.97
1047,118.12
1048,143.04
1049,123.99
1050,139.28
1051,103.69
1052,125.15
1053,136.07
1054,158.86
1055,151.28
1056,150.13
1057,198.59
1058,148.17
1059,112.8
1060,143.27
1061,171.43
1062,160.13
1063,152.55
1064,115.74
1065,188.22
1066,162.33
